Comments,Ratings
"I didnt go in with big hopes, but i was expecting better than Adipurush- this was way better.I watched it in IMAX 2D(i dont know if there is 3d, but there are no 3d shows in London). There are lots of positives in this film and some negatives which could have been avoided and made it a better product.Negatives-In the first half, whenever Prabhas came on screen, it was unbearable. His intro scene was too far fetched, unrelated to the story and unnecessary.-Ashwathamma's young version of Amitabh is literally animated, it was bad a decision to do that. They casted so many cameos, they could've just casted Abhishek in that role and give Amitabh's voice over.I expected the vfx to be not great in many parts, and that is acceptable given the budgets. But i think some choices still can be made to reduce the bad frames from the flim- like reducing some scenes where the characters are doing extraordinary stunts- nor does it look good, and can easily replaced by a normal punch which atleast doesnt look bad.Luckily there are no dance numbers but one sequence where Prabhas and Disha are in the complex for work and they start looking around the complex, are attending parties, dancing, etc for so long without even getting noticed. I mean, you need 1 mil units to get into that place, and it is a tough job have that many units, but these guys are just fooling around there. A context in how they could do that would've been great and given a better explanation to why Prabhas wants to go in.Positives-The vfx is 60-70% on the better side, while some of it being great. Throughout the movie there is a consistency in good visuals with some patches of bad. Overall happy with them and wish they improve in the second one.World building they have done is good, character building is good and there a lots of small bits and pieces in the storyline which make it interesting watch.All main characters except Bhairava have been written well, acted superbly and look magnificent, but this movie is carried by Aswathamma. I mean whenever he came on screen it felt good.Loved all the Mahabharat scenes. They looked good, were shot well and it was great to see our heros on bug screen.-Powerful end to the movie, and I hope they dont take too long for the second part.Overall a good movie, and I want the makers to attempt such movies and keep improving so we can move towards the better product.",8
"A unique genre, a well written story (script) & strong characters give this movie a strong start. The extravagant visuals & very detailed crisp VFX gives the audience much needed thrill.However, one cannot forgo the resemblance of some VFX shots have with movies like Dune, Star-wars, mad max, black panther & transformers...Although huge kudos to the team for producing a movie which is equivalent to the scale of above mentioned movies.Pros :
1. Time taken to build characters & explain world
2. Stunts, crisp bright visuals
3. Screenplay, Direction
4. Comedy
Cons :
1. Music, background score is unique but doesn't give the much needed grandeur to the visuals and scenes, repeated use of same score, abruptly high background score during stunts
2. Editing especially first half.",8
"Majestic at scale, grandeur in VFX, and great blend of sci-fi & mythology taken at an eye popping level. Proud moment indeed for Indian cinema that stands tall as a mega mountain.Director Nag Aswin takes us through three different ""never seen"" worlds. First half is a bit drag with comedy elements and build up. Editing could have been better.Second half elevates to ""PEAKS"" with spectacular action sequences, strong story and crisp screenplay. Pre-interval and climax is a hair riser, and giving audience plenty of goosebumps.Prabhas is at his usual coolness and delivers. Deepika Padukone emotes well and binds to her character. Kamal's getup and dialogue delivery will stun you. There are plenty of surprises in terms of star cast.Sir Amitabh Bachchan outweighs every other character and is the heart of the whole movie. His stature, voice, caring attitude & protective nature, and breathtaking action scenes will be remembered by all ages.Terrific BGM & technical aspects, and deeper mythological connection with a strong plot in second half will make audience go gaga.True cinematic triumph, and there will be a giant sea swell in the box office!",9
"""Kalki 2898"" is not just a movie; it's an experience that redefines the boundaries of science fiction and epic storytelling. Directed by the visionary filmmaker Nag Ashwin, this film is a tour de force that combines a compelling narrative, breathtaking visuals, and stellar performances, setting a new benchmark for Indian cinema.Plot and Storyline: Set in a dystopian future, ""Kalki 2898"" explores themes of hope, survival, and the eternal battle between good and evil. The plot intricately weaves together elements of mythology and futuristic science, creating a tapestry that is both thought-provoking and emotionally resonant. The story follows Kalki, a hero prophesied to restore balance in a world teetering on the brink of chaos. The narrative is gripping, with each scene meticulously crafted to keep the audience on the edge of their seats.Visuals and Special Effects: The visual effects in ""Kalki 2898"" are nothing short of spectacular. The futuristic landscapes are rendered with a level of detail that is awe-inspiring, transporting viewers to another world. The use of CGI is seamless, enhancing the storytelling without overwhelming it. The film's cinematography is equally impressive, with each frame composed like a work of art. The use of color, lighting, and innovative camera angles adds depth and dimension to the viewing experience.Performances: The cast of ""Kalki 2898"" delivers performances that are powerful and nuanced. Prabhas, in the titular role, brings a perfect blend of intensity and vulnerability, making Kalki a hero that audiences can root for. Deepika Padukone, as the enigmatic and strong-willed heroine, adds a layer of complexity to the narrative. Amitabh Bachchan, in a pivotal role, delivers a performance that is both commanding and emotionally charged. The supporting cast, including Disha Patani, brings depth and authenticity to their characters, enhancing the overall impact of the film.Direction and Screenplay: Nag Ashwin's direction is masterful, showcasing his ability to blend genres and create a cohesive and compelling story. His vision for ""Kalki 2898"" is ambitious, and he executes it with precision and flair. The screenplay is tight, with a perfect balance of action, drama, and philosophical musings. The dialogues are poignant, often leaving a lasting impact long after the credits roll.Music and Sound Design: The music by Santhosh Narayananelevates ""Kalki 2898"" to another level. The score is hauntingly beautiful, perfectly complementing the film's tone and themes. The sound design is meticulous, creating an immersive audio experience that draws viewers deeper into the story.Conclusion: ""Kalki 2898"" is a cinematic triumph that stands out in every aspect. It is a film that challenges, inspires, and entertains, leaving a profound impact on its audience. This movie is a must-watch for anyone who appreciates the art of filmmaking and storytelling. Nag Ashwin has crafted a masterpiece that will be remembered as a landmark in Indian cinema. ""Kalki 2898"" is not just a film; it is a journey that stays with you long after you leave the theater.",10
"Best Indian movie Nagi combined Hindu mythology with future , great VFX at par with Hollywood, good concept in the script and Prabhas and Bachan dusted it.Even there no disappointment for darling, nagi smartly added some fan based elevations. He also carefully narrated the story without getting bored.The touch of Rajamouli, RGV, Dulquer and Vijay Devarakonda is superb which boosted scenes in betweeen.Finally this movie deserves 10 out 10 , due to Nagi daring attempt to imagine such kind of a big movie , perfect story and extraordinary screenplay.Everyone can watch this movie no obscene words or scenes.",10
"The Kalki 2898 AD movie is an epic dystopian science fiction action film directed and written by Nag Ashwin. The film features Prabhas, Amitabh Bachchan, Kamal Hassan, and Deepika Padukone in lead roles.The 'Hollywood range' visuals are absolutely stunning for a theatrical watch, and the background score is impactful in places.*Overall*This is a great start to an epic cinematic universe of India! The Kalki 2898 AD movie is an epic dystopian science fiction action film directed and written by Nag Ashwin. The film features Prabhas, Amitabh Bachchan, Kamal Hassan, and Deepika Padukone in lead roles.",10
"#NagAshwin dreams big and manages to execute the same to the spectacle by merging an apocalyptic world with Mahabharata. He takes a lot of time to set the things up and the first half has ample of pacing issues. In-fact, the narrative dips majorly after an impressive beginning, however, the things set up well with the pre-interval block.There are episodes in the first half that also test your patience, as they drag for no reason. The team can easily trim 20 minutes from the first half.The film peaks in the second half, especially the last 40 minutes. The action block of #Prabhas and #AmitabhBachchan with #DeepikaPadukone at the centre, followed by the extended climax keeps you on the edge of your seat. The visuals are out of the world (literally), elevated further by the background score. The finale sets thing up for the second installment of #Kalki2898AD.#AmitabhBachchan as #Ashwatthama is the highlight of #Kalki. He has a roaring screen presence and excels. #DeepikaPadukone gets a meaty part and is the soul of the film. She delivers a fabulous performance, lending the right emotions. #Prabhas does well in his part though his character warranted a better arc. I feel, the maker has saved the best of #Prabhas for the sequel. He gets his share of elevation moments and emerges a winner in there. His act in the climax is sure to be greeted with seeti's and taali's. #KamalHaasan is terrific in his cameo and spikes excitement for the next installment. #SawataChatterjee is solid as the villain.Some of the cameos are exciting and come across as a pleasant surprise in the narrative.Overall, #Kalki2898AD is an ambitious film and director #NagAshwin deserves full marks for sticking to his conviction. While 30 minutes of trimming (especially first half) would elevate the experience, the film has enough in the second half to warrant a theatrical watch and keep the audience interested for the sequel.",10
"The soaring epicness of second part of the film and the excellent climax were tainted by bloated, boring and technically terrible first half. It had cringe dialogues, poorly choreographed action scenes and unnecessary subplots.The props used throughout the movie looked like cheap foam. There was too much ""inspiration"" drawn from Hollywood movies.The first attempt from Nag Ashwin is average at best. I hope he improves significantly in the second part of this film. To do so, he should focus on Mahabharata and adapt it as faithfully as possible. The sci-fi elements of the movie were most disappointing, whereas, the characters from the great epic were thoroughly exhilarating!",6
"Let me share a review of the movie ""Kalki 2898 AD."" Directed by Nag Ashwin and starring Prabhas, Amitabh Bachchan, Kamal Haasan, and Deepika Padukone, this film has garnered significant attention since its first teaser release. Here's what you need to know:**Story Overview:**
The film begins during the Kurukshetra war in the era of the Mahabharata. Ashwatthama (played by Amitabh Bachchan) is cursed with immortality by Lord Krishna. His penance involves safeguarding the infant when God reincarnates as Kalki, predicted to happen 6000 years in the future. Fast forward to that time, in Kaasi, people endure suffering and aspire to relocate to Complex, a place resembling heaven governed by Yaskin (played by Kamal Haasan). The story unfolds as pregnant women, including Sumati (Deepika Padukone), become part of Project K, which extracts serum from them. Bounty hunter Bhairava (Prabhas) is tasked with retrieving Sumati and returning her to Complex. The plot weaves together these characters and three distinct worlds, including Shambala.**Performances:**
Prabhas shines as Bhairava, combining superhero traits with a fun personality. Amitabh Bachchan's full-length role is on par with the lead hero. The film revolves primarily around these two characters.**Visual Brilliance:**
""Kalki 2898 AD"" boasts stunning visuals, making it a visual treat for audiences.While the film has its flaws, it's a gripping thriller that blends ancient Indian mythology with futuristic dystopia. Whether it will break box office records remains to be seen, but it's definitely a noteworthy addition to Telugu cinema¹.Remember, opinions may vary, but ""Kalki 2898 AD"" is certainly an ambitious venture that combines grandeur, mythology, and science fiction in a unique way. 🎬🌟",9
"I don't understand the obsession with hero entry and why people are not against it if you have a good story then just stick with why do you need the star to be bigger than the story first hour of story is skippable completely , rest vfx was top notch even the ending was very good but this obsession with hero needs to stop also the director did not invent the character Kalki nor any references that they took from Mahabharata so please be respectful because its a part of our history not something that you can mock or not make it serious just because you want the hero entry or want films to have some useless and unfunny comedy.",6
